Wallet Address,Total Rewards Earned,Tier
0x1cf98210f34cb989be9694de2091ca35dba9d928,23.54,0
0x89c613e9dbd1738b3dd142edd9caf21f3f560049,23.57,0
0x2a6b5204b83c7619c90c4eb6b5365aa0b7d912f7,23.77,0
0x4e154519ae2fd0198261295a51b4d116395ae4eb,23.90,0
0x64ddd8e88e08b21d7e63f7065423ded4a26f16d5,24.69,0
0xeea4a8463e5fc06f880242d552006d3597761642,24.89,0
0xfccef261b3def3f227c6369f24ccb340ed2a7a17,26.20,0
0x51c9a6880eef01c639231145512df83113711c40,26.21,0
0x52e3760cab4ca7ab7399ab61ccb07bea5a1196aa,26.48,0
0xced16eb4e6d88eae6443249ae9a9dfa384a90867,27.41,0
0x72468f3670bc48354e090d31d35103876a94b9c6,27.61,0
0xbd48205f3582a89aa59afa9aff7d7c1e73ed8d96,28.34,0
0x9d5471cfcbadd4700f5287125169dfcf6091068b,28.48,0
0xcd0d967449430caaabda422af22f64254c3f1168,29.19,0
0xf622a1072e6bb5d84f88715574786da5f8a0f243,29.55,0
0xabc776e633d3fbfe2192de319bf089ddb47486be,29.67,0
0xe6cfdaf74bfec00fafde9724a46cb052548c8488,30.02,0
0xed3c3fd027288dcb1f386eba464d4fabd22ffb01,40.20,0
0x609f63f0e1995a150e8ed33d4c6b29893a28e52c,40.33,0
0x9201c32ca9c224dcb8991e8afd6e7e08272130bd,41.01,0
0x1b2823e60859cd6476978464d7b3c951b5fcf843,41.39,0
0x033cbc3502fa72c4e4071c8263c3121fa3a84ca8,41.83,0
0xa195ea3c5bb4df15412b986f7aa0df23e47468c1,42.52,0
0x66220e6d4944f5d01b39543fb8050fd55804b0a8,42.70,0
0x6b5f4ebc6c853206e2e6c319b9b7c2f5f64e6831,42.90,0
0x5960c11cffa3575d6a72657c35f5646a3691e258,43.12,0
0x0c65be17e86bcb6019148be0a4e8f0a4510a70cb,43.33,0
0x7e256bced8187670759de81d4b29b944944d73c9,45.30,0
0x5f44261130f3722d4df179ec6b95d90a90441645,45.54,0
0x508ca1e5f176f23872802011f2163a3b876c01a5,45.98,0
0xd7a4467a26d26d00cb6044ce09ebd69edac0564c,46.14,0
0x023c60e3abe8369d8c574c45a72961a1a9cb2c4d,46.15,0
0xb4b35d7ba2a507eba7d15b06fdded697e33189e2,47.78,0
0x414113f5e5d0d34d43c589357739016ee27ade11,48.03,0
0x0caa30b7a830283794817dee2e7e7cf3bcb060a3,48.03,0
0xbfce5ef4f16522d9059da2776e4619f893a955cf,48.60,0
0x62e7a8dbb8d8538e1cdb5d893030bb16ea00b2f2,48.63,0
0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,48.94,0
0xf68594a774cca102ca79cbb4eb82ad95f537cca8,49.01,0
0xe34e7378a7667ab1395ab7184691049d195e8a6b,49.18,0
0xadbb2bae7f0cd584491c35089d8a819108a1276c,49.76,0
0x54d6f46a30b662baf483ffc00ddb0731478b3a85,50.40,0
0x13bc95719f8063f2ea296becfe9b952f77cf5ab6,51.04,0
0xc7efa766ba2b70a156d001e4e43513db5b3096e2,51.15,0
0xf8fcd5d52cb962df0d7d86728964342b79804154,51.62,0
0x8dee57809ed954a9fd0cacf6eb1f46b980b57017,51.84,0
0x13783136336932a54ae5a5939b237f78ae369036,53.27,0
0x7e82a7bb5e6787beb07c363a0fbb42304ac04525,54.68,0
0xbab4e80720aad105371e77249b4eab7f20a876fd,55.00,0
0xC3774b537e1725E4981fa78AA44AF07cc5EA016c,56.00,0
0x0e88ac34917a6bf5e36bfdc2c6c658e58078a1e6,58.88,0
0xd3ae074bb56323969667583901eb0e8a692c5772,58.97,0
