address,tier,avg_balance,DAYS_OVER_1,DAYS_OVER_10,DAYS_OVER_100,DAYS_OVER_1000,DAYS_OVER_10000,DAYS_OVER_100000
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,5,614627.43,438,438,438,437,437,437
0x1ed622abdd5ed799a26f8eae45950de4783fc506,5,141292.6,691,691,691,691,572,438
0x0d3b2c24aa5106a78445ab04bab3baacd90230aa,5,71595.36,482,482,482,455,433,216
0x7b9a5bc920610f54881f2f6359007957de504862,5,38539.34,507,507,489,489,470,19
0xddff2cdad11898b901a661e32e9fa010780263a0,5,29232.39,711,711,711,711,711,0
0x28ade0134b9d0bc7041f4e5ea74fecb58504720b,5,22104.13,457,457,457,457,457,0
0xb83258bf5940c98abf54f26c5a02710bd6b83b2c,5,15121.86,210,210,210,210,210,0
0xea280b39437a64473a0c77949759e6629ed1dc73,5,6968.89,191,191,180,180,145,0
0x4eb0685f69f0b87da744e159576556b709a74c09,5,6198.99,352,352,352,352,157,0
0x5c80968232779d406025660c0a946f2d97a614d6,4,5313,320,311,311,274,82,0
0x0dbb0769b00d01d241ba4f7b2891fb5c2a975d51,5,5081.09,388,329,329,329,201,0
0x576edced7475d8f64a5e2d5227c93ca57d7f5d20,5,4604.81,492,492,492,473,221,0
0xaf2a66afa19e8a5941865ad1911f933953688d92,5,4456.86,151,151,151,151,131,0
0x0a73c1519551ff5fa6c8d180d202df69770e4e55,5,4376.22,689,689,602,577,190,0
0xa1ce98594e6844d850db9db9fe01b9595d445ca4,4,4265.43,416,416,413,401,0,0
0x3d9e27c04076288ebfdc4815b4f6d81b0ed1b341,5,4162.52,255,255,255,255,152,0
0xcdea458750b9a8d6c4ba8b3d68ce98ba2330352a,4,3406.56,192,172,172,172,38,3
0x6619871118d144c1c28ec3b23036fc1f0829ed3a,5,3101.85,369,363,312,272,127,0
0x991f1aa7e0901f9ab3d583846bf5be0ebace1d7f,4,2987.86,710,710,710,270,10,0
0xd4ac6c14b4c96f7e66049210f56cb07468028d4e,4,2838.11,406,406,406,406,0,0
0x6a849df3bf514fbd4c91c8440b74627540cff965,1,2812.8,2,2,2,2,2,2
0x9c257bdc314dc516e673728d70f45444f6e22412,4,2694.38,333,333,333,333,0,0
0x7361e188caee51275650c9f38695775465e3c322,4,2663.72,451,451,451,451,0,0
0x222921486e5fc244a2158499ba8adde0db3a5a6f,4,2663.02,547,546,546,546,54,0
0x4e31993d9f13f940828bf9ec2f643a7e55b21e8c,4,2599.85,678,655,654,409,0,0
0x5c977f6520a5e6d1ca9c26133d80f2ce47bf937c,4,2300.86,416,415,283,271,0,0
0x0c62bdb70f167b720766e18e61fd9c50b7d19442,5,2126.58,264,264,264,96,94,0
0x85910be70d7ebf149918ed96ef8be175a0639c33,4,2082.19,297,297,297,297,57,0
0x68060388c7d97b4bf779a2ead46c86e5588f073f,4,1754.44,485,483,476,288,0,0
0xda9f58f38c16a13a540468b0d97e578ec241709f,4,1632.97,416,415,410,401,0,0
0x66582d24fead72555adac681cc621cacbb208324,4,1502.6,601,601,534,448,0,0
0xf8bee6cfc0ee05842f3dab0c7ae90b7c87fcb986,4,1496.49,90,90,90,90,89,0
0x1b8e025bac207e4ed55442dc75578050d00a10bf,4,1380.55,474,472,427,78,36,0
0x6333eda4cf44617273b2a34f6a48afb4af8c6f7a,4,1316.02,276,276,227,198,0,0
0xc29fda870cbf7df1add5ab2844f006da6864f032,4,1307.96,416,415,410,401,0,0
0x8a8e6ac00d93ac766a25b7d6bbf0ca2e873f7725,4,1198,220,220,220,220,0,0
0xefedaf9c07e6eb56bb8f82f30018e4461b1c5f4c,4,1183.83,530,529,527,515,0,0
0x40713ca5223efb79e861e282495092d2563c1ece,4,1137.88,514,514,467,261,0,0
0x953e2937f0515c43ca7995e80c84aedcbbb9385e,4,1127.85,592,351,269,247,0,0
0x5f411351e6566409f9b0b8d03873846e0c7201b3,4,1110.44,65,65,65,65,64,0
0x6ca0493b04b025d4430032d7645130e5c3268e0c,4,1068.04,255,248,240,240,0,0
